Categorie,Image_ID,Attaque_Complete,Type_Attaque,Intensite,Param_hash_size,Algorithme,Distance_Hamming,Similarite_Pct
faces,1,Downscale_90,Downscale,90,12,dHash,5,96.52777777777777
faces,1,Downscale_90,Downscale,90,16,aHash,0,100.0
faces,1,Downscale_90,Downscale,90,16,dHash,6,97.65625
faces,1,Downscale_90,Downscale,90,24,aHash,2,99.65277777777777
faces,1,Downscale_90,Downscale,90,24,dHash,42,92.70833333333333
faces,1,Downscale_90,Downscale,90,32,aHash,7,99.31640625
faces,1,Downscale_90,Downscale,90,32,dHash,103,89.94140625
faces,1,Occlusion_10,Occlusion,10,4,aHash,0,100.0
faces,1,Occlusion_10,Occlusion,10,4,dHash,4,75.0
faces,1,Occlusion_10,Occlusion,10,6,aHash,1,97.22222222222223
faces,1,Occlusion_10,Occlusion,10,6,dHash,3,91.66666666666667
faces,1,Occlusion_10,Occlusion,10,8,aHash,1,98.4375
faces,1,Occlusion_10,Occlusion,10,8,dHash,7,89.0625
faces,1,Occlusion_10,Occlusion,10,12,aHash,3,97.91666666666667
faces,1,Occlusion_10,Occlusion,10,12,dHash,9,93.75
faces,1,Occlusion_10,Occlusion,10,16,aHash,8,96.875
faces,1,Occlusion_10,Occlusion,10,16,dHash,17,93.359375
faces,1,Occlusion_10,Occlusion,10,24,aHash,20,96.52777777777777
faces,1,Occlusion_10,Occlusion,10,24,dHash,37,93.57638888888889
faces,1,Occlusion_10,Occlusion,10,32,aHash,23,97.75390625
faces,1,Occlusion_10,Occlusion,10,32,dHash,62,93.9453125
faces,1,Occlusion_25,Occlusion,25,4,aHash,0,100.0
faces,1,Occlusion_25,Occlusion,25,4,dHash,4,75.0
faces,1,Occlusion_25,Occlusion,25,6,aHash,0,100.0
faces,1,Occlusion_25,Occlusion,25,6,dHash,7,80.55555555555556
faces,1,Occlusion_25,Occlusion,25,8,aHash,3,95.3125
faces,1,Occlusion_25,Occlusion,25,8,dHash,12,81.25
faces,1,Occlusion_25,Occlusion,25,12,aHash,5,96.52777777777777
faces,1,Occlusion_25,Occlusion,25,12,dHash,28,80.55555555555556
faces,1,Occlusion_25,Occlusion,25,16,aHash,9,96.484375
faces,1,Occlusion_25,Occlusion,25,16,dHash,50,80.46875
faces,1,Occlusion_25,Occlusion,25,24,aHash,25,95.65972222222223
faces,1,Occlusion_25,Occlusion,25,24,dHash,86,85.06944444444444
faces,1,Occlusion_25,Occlusion,25,32,aHash,40,96.09375
faces,1,Occlusion_25,Occlusion,25,32,dHash,137,86.62109375
faces,1,Occlusion_50,Occlusion,50,4,aHash,0,100.0
faces,1,Occlusion_50,Occlusion,50,4,dHash,6,62.5
faces,1,Occlusion_50,Occlusion,50,6,aHash,2,94.44444444444444
faces,1,Occlusion_50,Occlusion,50,6,dHash,12,66.66666666666667
faces,1,Occlusion_50,Occlusion,50,8,aHash,9,85.9375
faces,1,Occlusion_50,Occlusion,50,8,dHash,22,65.625
